filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
P178-15P.Tierney.2015.lpd,marine sediment,measured,Uk37Prime,NotApplicable,1,Temperature,Sea Surface
P178-15P.Tierney.2015.lpd,marine sediment,measured,TEX86,NotApplicable,1,Temperature,Sea Surface
P178-15P.Tierney.2015.lpd,marine sediment,measured,D18O,per mil SMOW,NA,NA,NA
Asi-JAPA012.Yasue.1997.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-MONG033.Jacoby.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
DSDP502.deMenocal.1992.lpd,marine sediment,measured,Depth_M,m,NA,NA,NA
DSDP502.deMenocal.1992.lpd,marine sediment,measured,D18O,per mil,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Trsgi,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-PowderRiverPass.Briffa.1996.lpd,tree,measured,Core,NA,NA,NA,NA
Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,Melt,percent,1,T,Air Surface
Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
Asi-Puruogangri.Thompson.2006.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
Ant-DomeF1993.Uemura.2014.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
Ocn-GulfofGuinea.Weldeab.2007.lpd,marine sediment,measured,Depth,cm,NA,NA,NA
Ocn-GulfofGuinea.Weldeab.2007.lpd,marine sediment,measured,Mg/Ca,NotApplicable,NA,NA,NA
Asi-KYRG014.Solomina.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
MD01-2378.Xu.2008.lpd,marine sediment,measured,Depth,NotApplicable,NA,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,measured,D18O,per mil PDB,NA,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,measured,D18O,per mil PDB,NA,NA,NA
MD01-2378.Xu.2008.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
MD01-2378.Xu.2008.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Thermocline
Arc-CampCentury.Fisher.1969.lpd,glacier ice,measured,D18O,permil,1,T,Air Condensationlevel
