coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-79.26, 24.58, -531]",PAGES2kv2,Ocn-GreatBahamaBank.Richter.2006.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[146.595, -18.315, -10]",PAGES2kv2,Ocn-GreatBarrierReef.Hendy.2002.lpd,coral,inferred,inferred sea-surface temperature anomaly (mean-subtracted only),NA,Sea Surface,Temperature,degC,1
"[9.38, 2.5, -1295]",PAGES2kv2,Ocn-GulfofGuinea.Weldeab.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-72.97, -44.33, -510]",PAGES2kv2,Ocn-JacafFjord.Seplveda.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-76.316, 32.977, -1205]",PAGES2kv2,Ocn-KNR140259GGC.Saenger.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[141.78, 36.03, -2224]",PAGES2kv2,Ocn-KuroshioCurrent.Isono.2009.lpd,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[-54.87, 43.48, -3975]",PAGES2kv2,Ocn-LaurentianFan.Keigwin.2005.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[115.2, -7.4, -594]",PAGES2kv2,Ocn-MakassarStrait.Linsley.2010.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[119.2, -3.53, -503]",PAGES2kv2,Ocn-MakassarStrait.Oppo.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[7.63, 66.97, -1048]",PAGES2kv2,Ocn-MD95-2011.Grimalt.2002.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[117.4867, -5.2012, -1185]",PAGES2kv2,Ocn-MD98-2160.Newton.2010.lpd,marine sediment,inferred,Makassar Strait WEq Pacific marine sediment Mg/Ca SST,NA,Sea Surface,Temperature,degC,1
"[119.078, 1.4033, -968]",PAGES2kv2,Ocn-MD98-2177.Newton.2010.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[4.03, 40.5, -2394]",PAGES2kv2,Ocn-MinorcaContourite.Moreno.2012.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.42, 66.55, -470]",PAGES2kv2,Ocn-NorthIceland.Sicre.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[152.53, 46.32, -2793]",PAGES2kv2,Ocn-NorthwestPacificOcean.Harada.2004.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-24.085, 61.43, -1648]",PAGES2kv2,Ocn-ODP984.Came.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[122.5, 24.8, -1274]",PAGES2kv2,Ocn-OkinawaTrough.Wu.2012.lpd,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[125.82, 6.3, -2114]",PAGES2kv2,Ocn-Philippines.Stott.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-91.42, 27.2, -2259]",PAGES2kv2,Ocn-PigmyBasin.Richey.2015.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-17.82, 62.08, -1938]",PAGES2kv2,Ocn-RAPiD-12-1K.Thornalley.2009.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
