authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
J. Jouzel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. Kipfstuhl,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
A. Landais,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Lemieux-Dudon,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
V. Maggi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
V. Masson-Delmotte,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. Mazzola,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Minster,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Montagnat,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Mulvaney,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Narcisi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
H. Oerter,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
F. Parrenin,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. R. Petit,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. Ritz,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
C. Scarchilli,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
A. Schilt,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
S. Schüpbach,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
J. Schwander,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
E. Selmo,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
M. Severi,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
T. F. Stocker,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Udisti,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
B. Stenni,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
M. Proposito,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
R. Gragnani,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
O. Flora,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
J. Jouzel,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
S. Falourd,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
M. Frezzotti,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Eric J. Steig,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
David L. Morse,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Edwin D. Waddington,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Minze Stuiver,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Pieter M. Grootes,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Paul A. Mayewski,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Mark S. Twickler,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Sallie I. Whitlow,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Eric J. Steig,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Qinghua Ding,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
James W. C. White,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Marcel Küttel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Summer B. Rupper,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Thomas A. Neumann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Peter D. Neff,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ailie J. E. Gallant,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Paul A. Mayewski,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Kendrick C. Taylor,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Georg Hoffmann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Daniel A. Dixon,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Spruce W. Schoenemann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Bradley R. Markle,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Tyler J. Fudge,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
David P. Schneider,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
