filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-MedicineBowPeak.Briffa.1996.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,measured,Melt,percent,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-BigWhite.Parish.2000.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-BigWhite.Parish.2000.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Ant-DSS.Moy.2012.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
Asi-AltaiKorumdu.Cook.2005.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-SanFrancisoPeaksUpdate.Graybill.2005.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Ocn-PigmyBasin.Richey.2015.lpd,marine sediment,measured,Depth,cm,NA,NA,NA,NA,NA
Ocn-PigmyBasin.Richey.2015.lpd,marine sediment,measured,Mg/Ca,NotApplicable,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Density,g/cm3,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,MXD,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-SewardComposite.D'Arrigo.2006.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Asi-SODAPS.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-NEPA003.Krusic.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-CHIN041.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-TamarackBowl.Sauchyn.2016.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-Bennington.Luckman.2001.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,EPS,NA,NA,NA,NA,NA,NA
NAm-Bennington.Luckman.2001.lpd,tree,measured,Core,NA,NA,NA,NA,NA,NA
Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011.lpd,marine sediment,measured,Mg/Ca,NotApplicable,NA,NA,NA,NA,NA
Arc-Forfjorddalen.McCarroll.2013.lpd,tree,measured,MXD,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-CHIN046.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Ocn-HoutmanAbrolhos.Kuhnert.1999.lpd,coral,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
Ocn-HoutmanAbrolhos.Kuhnert.1999.lpd,coral,measured,D13C,permil,NA,NA,NA,NA,NA
Ocn-JacafFjord.Sepúlveda.2009.lpd,marine sediment,measured,Depth,cm,NA,NA,NA,NA,NA
Ocn-JacafFjord.Sepúlveda.2009.lpd,marine sediment,measured,Uk37,NotApplicable,NA,NA,NA,NA,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-PAKI017.Cook.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Asi-BT001.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
Arc-CampCentury.Fisher.1969.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Samplecount,count,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Segment,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Ringwidth,cm,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Residual,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,ARS,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Corrs,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,Rbar,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,SD,NA,NA,NA,NA,NA,NA
NAm-ShermanCreekPass.Briffa.1996.lpd,tree,measured,SE,NA,NA,NA,NA,NA,NA
