publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,Temperature,Air Surface,temperature1,degC,1
Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,NA,NA,uncertainty temperature1,degC,NA
Temp12k1_0_1,DempsterPeatland.Porter.2019.lpd,Ice-other,inferred,NA,NA,uncertainty temperature1,degC,NA
Temp12k1_0_1,DYE3.Dahl-Jensen.1998.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,DYE3.Dahl-Jensen.1998.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,EDML.Stenni.2010.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,ElGygytgynCrater.Schwamborn.2006.lpd,Ice-other,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,EPICADomeC.Stenni.2010.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,EPICADomeC.Stenni.2010.lpd,GlacierIce,inferred,NA,NA,tempSource,degC,NA
Temp12k1_0_1,FanLake.Foster.2016.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,GeoB10042_1.Setiawan.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,GeoB10043_3.Setiawan.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,GeoB12605_3.Kuhnert.2014.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,GIK17748-2.Kim.2002.lpd,MarineSediment,inferred,NA,NA,Sedimentation Rate,cm/kyr,NA
Temp12k1_0_1,GIK17748-2.Kim.2002.lpd,MarineSediment,inferred,Temperature,NA,Sea Surface Temperature,degC,1
Temp12k1_0_1,GiK18515_3.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,H214.Samson.2005.lpd,MarineSediment,inferred,Temperature,Sea Surface,temperatureComposite,degC,1
Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,uncertainty_plus,degC,NA
Temp12k1_0_1,Hani.Zheng.2017.lpd,Peat,inferred,NA,NA,undertainty_minus,degC,NA
Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Speleothem,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Speleothem,inferred,Temperature,Air Surface,Temperature,degC,1
